speed,exit_influence,floor_field_factor,simulated_egress_time,error
0.5,1,3,354,51
0.5,1,5,348,45
0.5,1,7,358,55
0.5,1,9,361,58
0.5,2,3,336,33
0.5,2,5,337,34
0.5,2,7,343,40
0.5,2,9,344,41
0.5,3,3,339,36
0.5,3,5,334,31
0.5,3,7,325,22
0.5,3,9,338,35
0.55,1,3,329,26
0.55,1,5,326,23
0.55,1,7,322,19
0.55,1,9,310,7
0.55,2,3,311,8
0.55,2,5,332,29
0.55,2,7,300,3
0.55,2,9,321,18
0.55,3,3,320,17
0.55,3,5,312,9
0.55,3,7,307,4
0.55,3,9,307,4
0.6,1,3,303,0
0.6,1,5,300,3
0.6,1,7,311,8
0.6,1,9,326,23
0.6,2,3,288,15
0.6,2,5,292,11
0.6,2,7,295,8
0.6,2,9,302,1
0.6,3,3,282,21
0.6,3,5,285,18
0.6,3,7,290,13
0.6,3,9,278,25
0.65,1,3,299,4
0.65,1,5,292,11
0.65,1,7,290,13
0.65,1,9,309,6
0.65,2,3,270,33
0.65,2,5,274,29
0.65,2,7,282,21
0.65,2,9,283,20
0.65,3,3,278,25
0.65,3,5,284,19
0.65,3,7,273,30
0.65,3,9,258,45
