speed,exit_influence,floor_field_factor,simulated_egress_time,error
0.5,1,3,349,46
0.5,1,5,346,43
0.5,1,7,354,51
0.5,1,9,345,42
0.5,2,3,352,49
0.5,2,5,337,34
0.5,2,7,349,46
0.5,2,9,337,34
0.5,3,3,331,28
0.5,3,5,331,28
0.5,3,7,342,39
0.5,3,9,330,27
0.55,1,3,327,24
0.55,1,5,329,26
0.55,1,7,322,19
0.55,1,9,333,30
0.55,2,3,312,9
0.55,2,5,318,15
0.55,2,7,318,15
0.55,2,9,324,21
0.55,3,3,322,19
0.55,3,5,307,4
0.55,3,7,304,1
0.55,3,9,304,1
0.6,1,3,314,11
0.6,1,5,300,3
0.6,1,7,304,1
0.6,1,9,291,12
0.6,2,3,289,14
0.6,2,5,286,17
0.6,2,7,295,8
0.6,2,9,297,6
0.6,3,3,291,12
0.6,3,5,287,16
0.6,3,7,283,20
0.6,3,9,307,4
0.65,1,3,289,14
0.65,1,5,285,18
0.65,1,7,297,6
0.65,1,9,281,22
0.65,2,3,279,24
0.65,2,5,279,24
0.65,2,7,262,41
0.65,2,9,277,26
0.65,3,3,275,28
0.65,3,5,268,35
0.65,3,7,280,23
0.65,3,9,274,29
